credit.policy,purpose,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid
1.00,debt_consolidation,0.1189,829.10,11.35,19.48,737.00,5639.96,28854.00,52.10,0.00,0.00,0.00,0.00
1.00,credit_card,0.1071,228.22,11.08,14.29,707.00,2760.00,33623.00,76.70,0.00,0.00,0.00,0.00
1.00,debt_consolidation,0.1357,366.86,10.37,11.63,682.00,4710.00,3511.00,25.60,1.00,0.00,0.00,0.00
1.00,debt_consolidation,0.1008,162.34,11.35,8.10,712.00,2699.96,33667.00,73.20,1.00,0.00,0.00,0.00
1.00,credit_card,0.1426,102.92,11.30,14.97,667.00,4066.00,4740.00,39.50,0.00,1.00,0.00,0.00
1.00,credit_card,0.0788,125.13,11.90,16.98,727.00,6120.04,50807.00,51.00,0.00,0.00,0.00,0.00
1.00,debt_consolidation,0.1496,194.02,10.71,4.00,667.00,3180.04,3839.00,76.80,0.00,0.00,1.00,1.00
1.00,all_other,0.1114,131.22,11.00,11.08,722.00,5116.00,24220.00,68.60,0.00,0.00,0.00,1.00
1.00,home_improvement,0.1134,87.19,11.41,17.25,682.00,3989.00,69909.00,51.10,1.00,0.00,0.00,0.00
1.00,debt_consolidation,0.1221,84.12,10.20,10.00,707.00,2730.04,5630.00,23.00,1.00,0.00,0.00,0.00
1.00,debt_consolidation,0.1347,360.43,10.43,22.09,677.00,6713.04,13846.00,71.00,2.00,0.00,1.00,0.00
1.00,debt_consolidation,0.1324,253.58,11.84,9.16,662.00,4298.00,5122.00,18.20,2.00,1.00,0.00,0.00
1.00,debt_consolidation,0.0859,316.11,10.93,15.49,767.00,6519.96,6068.00,16.70,0.00,0.00,0.00,0.00
1.00,small_business,0.0714,92.82,11.51,6.50,747.00,4384.00,3021.00,4.80,0.00,1.00,0.00,0.00
1.00,debt_consolidation,0.0863,209.54,9.49,9.73,727.00,1559.96,6282.00,44.60,0.00,0.00,0.00,0.00
1.00,major_purchase,0.1103,327.53,10.74,13.04,702.00,8159.96,5394.00,53.40,1.00,0.00,0.00,0.00
1.00,all_other,0.1317,77.69,10.52,2.26,672.00,3895.96,2211.00,88.40,0.00,0.00,0.00,0.00
1.00,credit_card,0.0894,476.58,11.61,7.07,797.00,6510.96,7586.00,52.70,1.00,0.00,0.00,0.00
1.00,debt_consolidation,0.1039,584.12,10.49,3.80,712.00,2760.00,8311.00,59.80,0.00,0.00,0.00,0.00
1.00,major_purchase,0.1513,173.65,11.00,2.74,667.00,1126.96,591.00,84.40,3.00,0.00,0.00,0.00
1.00,all_other,0.0800,188.02,11.23,16.08,772.00,4888.96,29797.00,23.20,1.00,0.00,0.00,0.00
1.00,all_other,0.0863,474.42,10.82,2.59,797.00,11951.00,5656.00,27.60,0.00,0.00,0.00,0.00
1.00,credit_card,0.1355,339.60,11.51,7.94,662.00,1939.96,21162.00,57.70,0.00,0.00,0.00,0.00
1.00,credit_card,0.0788,484.85,11.74,7.05,782.00,5640.04,16931.00,34.60,1.00,0.00,0.00,0.00
1.00,debt_consolidation,0.1229,320.19,11.26,8.80,672.00,3760.96,4822.00,58.10,0.00,0.00,1.00,0.00
1.00,all_other,0.0901,159.03,12.43,10.00,712.00,1553.96,14354.00,36.60,0.00,2.00,0.00,0.00
1.00,all_other,0.0743,155.38,11.08,0.28,802.00,4649.96,1576.00,5.70,1.00,0.00,0.00,0.00
1.00,debt_consolidation,0.1375,255.43,10.00,14.29,662.00,1318.96,4175.00,51.50,0.00,1.00,0.00,0.00
1.00,all_other,0.0743,155.38,12.21,0.28,772.00,4516.96,3164.00,13.70,0.00,0.00,0.00,0.00
1.00,all_other,0.0743,155.38,12.21,3.72,812.00,6778.96,85607.00,0.70,0.00,0.00,0.00,0.00
1.00,debt_consolidation,0.0807,156.84,11.51,2.30,742.00,3148.96,9698.00,19.40,0.00,0.00,0.00,0.00
1.00,credit_card,0.1028,275.38,9.80,6.40,692.00,7469.96,8847.00,26.90,1.00,1.00,0.00,0.00
1.00,home_improvement,0.0743,155.38,11.92,0.00,777.00,7128.96,6053.00,19.50,0.00,0.00,0.00,0.00
1.00,home_improvement,0.0807,78.42,11.61,11.33,762.00,6059.96,7274.00,13.10,0.00,0.00,0.00,0.00
1.00,credit_card,0.0870,158.30,11.23,15.55,757.00,4770.00,66033.00,23.00,0.00,0.00,0.00,0.00
1.00,all_other,0.0743,155.38,11.46,3.83,772.00,2535.00,3660.00,6.80,0.00,0.00,0.00,0.00
1.00,credit_card,0.0743,155.38,11.35,0.31,787.00,3540.00,216.00,0.60,0.00,0.00,0.00,0.00
1.00,credit_card,0.1122,164.23,11.29,1.21,672.00,3990.00,27185.00,16.10,3.00,0.00,1.00,0.00
1.00,debt_consolidation,0.0996,161.25,10.78,8.03,707.00,4320.00,28329.00,48.60,1.00,0.00,0.00,0.00
1.00,home_improvement,0.0933,159.77,12.10,11.93,717.00,4498.96,60568.00,39.20,1.00,0.00,0.00,0.00
1.00,home_improvement,0.0807,156.84,12.10,5.55,742.00,4019.00,40934.00,26.30,0.00,0.00,0.00,0.00
1.00,debt_consolidation,0.0743,155.38,11.70,2.29,777.00,3540.00,8379.00,16.90,0.00,0.00,0.00,0.00
1.00,small_business,0.0870,94.98,10.13,14.54,752.00,2460.00,3660.00,7.80,1.00,0.00,0.00,0.00
1.00,home_improvement,0.1028,97.20,12.21,0.00,677.00,3779.96,0.00,0.00,0.00,1.00,0.00,0.00
1.00,credit_card,0.1122,164.23,10.31,18.64,702.00,5190.00,15840.00,47.10,0.00,0.00,0.00,0.00
1.00,credit_card,0.0838,167.02,11.21,14.37,797.00,5610.96,6844.00,14.40,0.00,0.00,0.00,0.00
1.00,educational,0.0775,168.60,8.99,3.00,762.00,6659.96,1321.00,16.50,0.00,0.00,0.00,0.00
1.00,all_other,0.0838,160.72,10.37,14.78,772.00,4379.00,4737.00,23.90,0.00,0.00,0.00,0.00
1.00,credit_card,0.0901,159.03,11.20,9.96,722.00,3089.96,23489.00,37.60,0.00,0.00,0.00,0.00
1.00,debt_consolidation,0.0743,178.69,11.74,0.27,792.00,7488.96,2817.00,10.20,0.00,0.00,0.00,0.00
1.00,credit_card,0.0743,155.38,10.71,1.12,782.00,5807.00,1783.00,0.00,1.00,0.00,0.00,0.00
1.00,small_business,0.1028,323.98,10.22,10.70,712.00,1379.00,3534.00,54.40,0.00,0.00,0.00,0.00
1.00,small_business,0.1059,813.65,10.78,4.05,762.00,2729.96,2422.00,23.30,0.00,0.00,0.00,0.00
1.00,educational,0.0996,112.87,9.51,16.44,712.00,1649.96,2864.00,41.10,1.00,0.00,0.00,0.00
1.00,debt_consolidation,0.1596,94.88,10.86,12.57,627.00,1409.00,3075.00,92.30,1.00,0.00,0.00,0.00
1.00,small_business,0.1059,398.69,11.00,17.12,747.00,14008.96,17214.00,8.10,2.00,1.00,0.00,0.00
1.00,credit_card,0.1154,39.60,9.90,2.04,662.00,1139.00,1153.00,75.80,2.00,0.00,0.00,0.00
1.00,credit_card,0.1343,678.08,11.88,10.15,682.00,4209.96,41674.00,74.10,0.00,0.00,0.00,1.00
1.00,credit_card,0.1249,401.37,11.23,15.00,682.00,4479.00,43039.00,93.40,3.00,0.00,0.00,0.00
1.00,all_other,0.0964,205.45,11.00,7.72,712.00,2293.96,3362.00,69.30,0.00,0.00,0.00,0.00
1.00,debt_consolidation,0.1186,397.75,11.08,7.14,682.00,8730.00,11868.00,71.90,0.00,2.00,0.00,0.00
1.00,all_other,0.0743,155.38,10.60,2.55,772.00,8189.96,2562.00,14.00,2.00,0.00,0.00,0.00
1.00,all_other,0.1028,113.39,9.90,1.50,682.00,1410.00,1882.00,32.40,0.00,0.00,0.00,0.00
1.00,debt_consolidation,0.1186,99.44,10.50,7.47,667.00,2550.00,1064.00,70.90,2.00,0.00,1.00,0.00
1.00,credit_card,0.0807,109.79,11.49,8.52,752.00,4979.96,6432.00,6.00,0.00,1.00,0.00,0.00
1.00,all_other,0.1059,32.55,10.43,14.47,687.00,1110.00,4485.00,36.90,1.00,0.00,0.00,1.00
1.00,all_other,0.0996,112.87,11.26,11.06,702.00,4979.96,16310.00,20.50,0.00,1.00,0.00,0.00
1.00,debt_consolidation,0.0964,160.51,11.78,8.55,712.00,5940.00,20969.00,40.20,0.00,0.00,0.00,0.00
1.00,debt_consolidation,0.1375,340.57,10.46,17.38,707.00,2699.96,22213.00,65.90,0.00,0.00,0.00,0.00
1.00,home_improvement,0.0775,156.11,12.32,6.48,752.00,5339.96,2160.00,2.30,1.00,0.00,0.00,0.00
1.00,credit_card,0.0743,155.38,11.16,4.56,812.00,9809.00,813.00,1.00,0.00,0.00,0.00,0.00
1.00,home_improvement,0.0807,235.25,11.92,2.72,757.00,5202.00,23678.00,24.40,4.00,0.00,0.00,0.00
1.00,debt_consolidation,0.0996,257.99,10.78,15.13,722.00,2640.00,11289.00,47.80,3.00,0.00,0.00,0.00
1.00,small_business,0.1501,225.37,12.27,6.45,677.00,6240.00,56411.00,75.30,0.00,0.00,0.00,1.00
1.00,home_improvement,0.0964,80.26,11.23,20.00,772.00,4920.96,269.00,3.80,3.00,0.00,0.00,1.00
1.00,home_improvement,0.1280,84.00,10.37,20.00,682.00,5492.00,3408.00,35.10,1.00,0.00,0.00,1.00
1.00,debt_consolidation,0.1122,507.46,10.60,13.50,712.00,5368.96,6513.00,34.30,3.00,0.00,1.00,1.00
1.00,educational,0.0743,124.31,10.60,3.45,772.00,1739.96,330.00,11.00,0.00,0.00,0.00,0.00
1.00,credit_card,0.0870,63.32,11.16,6.07,712.00,2550.00,5967.00,19.80,1.00,0.00,0.00,0.00
1.00,all_other,0.1091,130.79,9.80,18.00,707.00,2192.00,5533.00,79.60,1.00,0.00,0.00,0.00
1.00,home_improvement,0.0775,93.67,11.74,2.14,762.00,8370.00,21050.00,1.00,0.00,0.00,0.00,0.00
1.00,all_other,0.0775,93.67,10.82,5.35,762.00,8370.00,21050.00,0.70,0.00,0.00,0.00,0.00
1.00,all_other,0.0870,88.65,11.70,15.00,742.00,3026.00,8155.00,14.90,1.00,0.00,0.00,0.00
1.00,all_other,0.0964,128.41,11.51,15.00,722.00,3026.00,8155.00,14.90,1.00,0.00,0.00,0.00
1.00,home_improvement,0.0870,94.98,11.03,12.23,737.00,2729.96,3678.00,30.70,0.00,0.00,0.00,0.00
1.00,debt_consolidation,0.1217,179.80,10.46,7.10,662.00,2944.00,2040.00,36.20,2.00,0.00,0.00,0.00
1.00,credit_card,0.1533,444.05,11.00,19.52,667.00,2700.96,33074.00,68.80,2.00,0.00,0.00,0.00
1.00,all_other,0.0775,124.89,11.03,3.46,747.00,2519.00,1918.00,17.10,0.00,0.00,0.00,0.00
1.00,credit_card,0.1533,644.30,11.41,5.24,662.00,1770.00,22379.00,62.20,0.00,0.00,0.00,0.00
1.00,small_business,0.0964,642.02,11.47,2.86,737.00,2190.00,10296.00,42.50,0.00,0.00,0.00,1.00
1.00,small_business,0.1154,104.76,9.62,12.24,672.00,1289.96,2867.00,55.10,3.00,0.00,0.00,1.00
1.00,debt_consolidation,0.1122,157.66,10.31,12.36,682.00,1770.00,12310.00,86.10,0.00,0.00,0.00,0.00
1.00,debt_consolidation,0.0870,383.87,11.92,4.80,767.00,13349.96,61921.00,39.10,0.00,0.00,0.00,0.00
1.00,credit_card,0.1122,217.60,11.39,18.00,702.00,3725.00,16738.00,26.10,2.00,0.00,0.00,0.00
1.00,all_other,0.0807,297.99,11.05,3.49,792.00,5939.00,40384.00,9.20,1.00,0.00,0.00,0.00
